Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Hazel Brugger: Tropical,hazel brugger: tropical,Comedy,German,Movie,"Israel,Germany,Poland,Czech Republic,India,Spain,Mexico,France,South Korea,Lithuania,Iceland,Italy,Greece,Canada,Belgium,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Argentina,Australia,Netherlands,Brazil,Switzerland,Turkey,United Kingdom,Hong Kong,Japan,United States,Russia,Malaysia,Colombia,Romania",30-60 mins,6.4,,,,02-Dec-20,2020-12-02,344
Alien Worlds,alien worlds,Documentary,English,Series,"Israel,Czech Republic,Poland,Australia,Canada,France,Mexico,Brazil,Italy,India,Thailand,Spain,Hong Kong,Singapore,Greece,Japan,Argentina,Belgium,United States,Switzerland,Hungary,Russia,United Kingdom,Slovakia,Malaysia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",< 30 minutes,6.3,,,,,2020-12-02,80
Speak of The Devil,speak of the devil,Documentary,English,Movie,Russia,1-2 hour,6.8,,,,,2020-12-02,123
Friends Of Friends,friends of friends,"Drama, Romance",German,Movie,Russia,1-2 hour,7.1,2,2,,23-Oct-02,2020-12-02,252
Champions,champions,"Comedy, Drama, Family, Sport",Spanish,Movie,Russia,1-2 hour,7.3,13,31,,06-Apr-18,2020-12-02,9056
Lone Wolf,lone wolf,"Horror, Music, Mystery",English,Series,"Switzerland,Germany",< 30 minutes,4.4,,,,16-Aug-88,2020-12-02,275
After We Collided,after we collided,"Drama, Romance","English, Chinese",Movie,"Thailand,Hong Kong,Japan,India,Malaysia,United States,Canada",1-2 hour,5,,,"$2,386,483",23-Oct-20,2020-12-02,18012
Hard to Kill,hard to kill,"Action, Crime, Drama, Thriller",English,Movie,"Brazil,Argentina,Mexico,Colombia",1-2 hour,5.8,,,"$47,410,827",09-Feb-90,2020-12-02,27560
Once Again,once again,"Drama, Romance",Hindi,Series,"France,Thailand,India,United Kingdom,Russia,Belgium,Hungary,Czech Republic,Netherlands,Spain,Germany,South Africa,Iceland,Portugal,Israel,Lithuania,Italy,Australia,Poland,Singapore,Greece,Slovakia,Malaysia,Sweden,Turkey,Romania",< 30 minutes,7,3,,,01-Sep-18,2020-12-02,773
The Bachelorette,the bachelorette,"Drama, Game-Show, Reality-TV, Romance",English,Series,United States,< 30 minutes,3.4,5,4,,08-Jan-03,2020-12-02,4888
The Holiday Movies That Made Us,the holiday movies that made us,"Documentary, Family",English,Series,"Canada,Poland,Australia,France,Italy,Mexico,Brazil,Thailand,Singapore,India,Argentina,Israel,Hong Kong,Switzerland,Japan,United Kingdom,Spain,United States,Malaysia,Greece,Russia,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",< 30 minutes,7.2,,,,01-Dec-20,2020-12-02,625
Are You The One,are you the one,Reality-TV,English,Series,"United States,Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Singapore,Turkey,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,Hong Kong,Japan,Russia,Iceland,Mexico,Argentina,Brazil,Colombia",< 30 minutes,6.5,,2,,21-Jan-14,2020-12-02,1678
U-Turn,u-turn,"Action, Crime, Drama",Greek,Movie,"Canada,Australia,Poland,France,Mexico,Brazil,Thailand,Singapore,India,Argentina,Hong Kong,Switzerland,Japan,United Kingdom,Spain,United States,Malaysia,Greece,Russia,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Germany,Turkey,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",1-2 hour,6.2,1,,,01-Sep-91,2020-12-02,66
Being Frank,being frank,Comedy,English,Movie,Canada,1-2 hour,6,3,5,"$67,343",21-Jun-19,2020-12-02,1249
Angelas Christmas Wish,angelas christmas wish,Drama,English,Movie,"Canada,Australia,Poland,France,Mexico,Brazil,Italy,Thailand,Singapore,India,Argentina,Israel,Hong Kong,Switzerland,Japan,United Kingdom,Spain,United States,Malaysia,Russia,Greece,Czech Republic,Belgium,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",30-60 mins,6.4,4,1,,01-Jan-95,2020-12-02,815
The Silent Revolution,the silent revolution,"Drama, History","German, Russian",Movie,"Switzerland,Germany",1-2 hour,7.4,8,8,,22-Oct-19,2020-12-01,3982
The Sunlit Night,the sunlit night,"Drama, Romance","English, Norwegian",Movie,"Hungary,Romania",1-2 hour,6.1,,1,,17-Jul-20,2020-12-01,899
The Room,the room,Drama,English,Movie,"Czech Republic,Slovakia,Hungary,Romania",< 30 minutes,3.7,1,,"$549,602",27-Jun-03,2020-12-01,82430
Dora and the Lost City of Gold,dora and the lost city of gold,"Adventure, Comedy, Family, Mystery","English, Spanish, Quechua",Movie,"Russia,Lithuania,Sweden,Iceland,Belgium",1-2 hour,6.1,4,2,"$60,477,943",09-Aug-19,2020-12-01,24321
Blue Story,blue story,"Crime, Drama",English,Movie,"Russia,Australia",1-2 hour,6,1,13,,05-May-20,2020-12-01,3417
Twelve Nights,twelve nights,Documentary,Mandarin,Series,Japan,< 30 minutes,7.6,,2,,,2020-12-01,45
Matrimonial Chaos,matrimonial chaos,"Comedy, Romance",Korean,Series,Japan,< 30 minutes,7.2,1,1,,08-Oct-18,2020-12-01,42
"Fujoshi, Ukkari Gei ni Kokuru","fujoshi, ukkari gei ni kokuru",Drama,Japanese,Series,Japan,< 30 minutes,7,,,,20-Apr-19,2020-12-01,20
Pool,pool,Drama,Japanese,Movie,Japan,1-2 hour,5.8,,,,12-Sep-09,2020-12-01,98
The Rhythm Section,the rhythm section,"Action, Drama, Mystery, Thriller","English, French",Movie,"Japan,Russia",1-2 hour,5.3,1,3,"$5,437,971",31-Jan-20,2020-12-01,12701
The Return of Godzilla,the return of godzilla,"Sci-Fi, Thriller",Japanese,Movie,Japan,1-2 hour,7,,,,15-Dec-84,2020-12-01,748
Son of Godzilla,son of godzilla,"Action, Adventure, Family, Fantasy, Sci-Fi",Japanese,Movie,Japan,1-2 hour,5.3,,,,16-Dec-67,2020-12-01,4034
Terror of Mechagodzilla,terror of mechagodzilla,"Action, Adventure, Drama, Family, Sci-Fi",Japanese,Movie,Japan,1-2 hour,6.2,,1,,01-Mar-77,2020-12-01,4242
Until the Break of Dawn,until the break of dawn,Drama,Japanese,Movie,Japan,> 2 hrs,6.5,2,,,06-Oct-12,2020-12-01,144
Gokusen: The Movie,gokusen: the movie,"Comedy, Drama",Japanese,Movie,Japan,1-2 hour,6.1,1,,,11-Jul-09,2020-12-01,493
Godzilla vs. SpaceGodzilla,godzilla vs. spacegodzilla,"Action, Adventure, Fantasy, Sci-Fi",Japanese,Movie,Japan,1-2 hour,6,,1,,10-Dec-94,2020-12-01,4222
Godzilla vs. Megalon,godzilla vs. megalon,"Action, Adventure, Family, Sci-Fi",Japanese,Movie,Japan,1-2 hour,4.8,,,,01-Apr-76,2020-12-01,5062
Godzilla: Tokyo S.O.S.,godzilla: tokyo s.o.s.,"Action, Adventure, Fantasy, Sci-Fi, Thriller","Japanese, English",Movie,Japan,1-2 hour,6.6,,1,,13-Dec-03,2020-12-01,3787
"Godzilla, Mothra and King Ghidorah: Giant Monsters All Out Attack","godzilla, mothra and king ghidorah: giant monsters all out attack","Action, Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",Japanese,Movie,Japan,1-2 hour,7.1,,1,,15-Dec-01,2020-12-01,5292
Godzilla vs. Destoroyah,godzilla vs. destoroyah,"Action, Horror, Sci-Fi","Japanese, English",Movie,Japan,1-2 hour,7,,3,,09-Dec-95,2020-12-01,5492
Godzilla vs. Biollante,godzilla vs. biollante,"Action, Sci-Fi","Japanese, English",Movie,Japan,1-2 hour,6.6,2,,,16-Dec-89,2020-12-01,5176
Godzilla vs. King Ghidorah,godzilla vs. king ghidorah,"Action, Adventure, Drama, Sci-Fi, Thriller","Japanese, English",Movie,Japan,1-2 hour,6.6,1,1,,14-Dec-91,2020-12-01,5702
Godzilla & Mothra: Battle for Earth,godzilla & mothra: battle for earth,"Action, Adventure, Sci-Fi, Thriller","English, Japanese",Movie,Japan,1-2 hour,6.4,7,31,"$200,676,069",16-May-14,2020-12-01,377876
Godzilla Raids Again,godzilla raids again,"Action, Horror, Sci-Fi",Japanese,Movie,Japan,1-2 hour,5.9,,1,,21-May-59,2020-12-01,5711
Godzilla vs. Mechagodzilla II,godzilla vs. mechagodzilla ii,"Action, Adventure, Drama, Sci-Fi","Japanese, English, Russian",Movie,Japan,1-2 hour,6.6,,2,,11-Dec-93,2020-12-01,4412
Godzilla vs. Mechagodzilla,godzilla vs. mechagodzilla,"Action, Fantasy, Horror, Sci-Fi",Japanese,Movie,Japan,1-2 hour,6.4,,,,01-Mar-77,2020-12-01,5720
Godzilla vs. Hedorah,godzilla vs. hedorah,"Animation, Action, Adventure, Horror, Music, Sci-Fi",Japanese,Movie,Japan,1-2 hour,6.1,,,,01-Feb-72,2020-12-01,4801
Godzilla vs. Gigan,godzilla vs. gigan,"Action, Adventure, Family, Horror, Sci-Fi",Japanese,Movie,Japan,1-2 hour,5.7,,,,01-Aug-77,2020-12-01,4197
Godzilla,godzilla,"Action, Adventure, Sci-Fi, Thriller","English, Japanese",Movie,Japan,1-2 hour,6.4,7,31,"$200,676,069",16-May-14,2020-12-01,377876
Godzilla Against Mechagodzilla,godzilla against mechagodzilla,"Action, Family, Sci-Fi, Thriller",Japanese,Movie,Japan,1-2 hour,6.7,,,,14-Dec-02,2020-12-01,4004
Godzilla vs. Megaguirus,godzilla vs. megaguirus,"Action, Horror, Sci-Fi",Japanese,Movie,Japan,1-2 hour,6.2,1,1,,16-Dec-00,2020-12-01,3438
Glasses,glasses,"Comedy, Drama",Japanese,Movie,Japan,1-2 hour,6.8,1,1,,22-Sep-07,2020-12-01,1323
Ghidorah: The Three Headed Monster,ghidorah: the three headed monster,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Japanese,Movie,Japan,1-2 hour,6.7,,1,,13-Sep-65,2020-12-01,5572
Destroy All Monsters,destroy all monsters,"Action, Horror, Sci-Fi, Thriller",Japanese,Movie,Japan,1-2 hour,6.6,,,,23-May-69,2020-12-01,5328
The Brain Man,the brain man,"Crime, Mystery",Japanese,Movie,Japan,> 2 hrs,6.5,1,,,09-Feb-13,2020-12-01,969
Boys,boys,"Drama, Romance","Dutch, English",Movie,Japan,1-2 hour,7.4,9,8,,09-Feb-14,2020-12-01,12606
Bandage,bandage,"Drama, Music, Romance",Japanese,Movie,Japan,> 2 hrs,6.7,2,,,16-Jan-10,2020-12-01,418
Another World,another world,"Action, Horror, Sci-Fi",English,Movie,Japan,1-2 hour,4.4,3,,,01-Mar-16,2020-12-01,3831
All Monsters Attack,all monsters attack,"Action, Adventure, Family, Sci-Fi",Japanese,Movie,Japan,1-2 hour,3.9,,1,,08-Dec-71,2020-12-01,3965
Abunai Deka Returns,abunai deka returns,Action,Japanese,Movie,Japan,1-2 hour,4.7,,,,14-Sep-96,2020-12-01,10
Abunai deka forever the movie,abunai deka forever the movie,Action,Japanese,Movie,Japan,1-2 hour,4.5,,,,12-Sep-98,2020-12-01,10
Love Island Australia,love island australia,Reality-TV,English,Series,"Thailand,Hong Kong,Singapore,Malaysia,South Korea",< 30 minutes,5.4,,,,27-May-18,2020-12-01,407
The Scent of Burning Grass,the scent of burning grass,"Drama, War",Vietnamese,Movie,"Thailand,Singapore,Malaysia",1-2 hour,8.2,,,,24-Apr-12,2020-12-01,67
Fiction.,fiction.,"Crime, Drama","English, Spanish, French",Movie,"Thailand,Singapore,Malaysia",1-2 hour,8.9,70,75,"$107,928,762",14-Oct-94,2020-12-01,1831004
7 Letters,7 letters,Drama,"English, Malay, Hokkien, Mandarin, Malayalam",Movie,"Thailand,Singapore,Malaysia",1-2 hour,6.5,,1,,24-Jul-15,2020-12-01,140
The Guest,the guest,"Action, Mystery, Thriller",English,Series,"France,Thailand,Japan,Russia,Czech Republic,Belgium,Hungary,Switzerland,United Kingdom,Canada,Poland,Australia,Mexico,Brazil,Singapore,India,Argentina,Hong Kong,Spain,United States,Malaysia,Greece,Slovakia,Sweden,Germany,Turkey,Netherlands,Italy,South Korea,South Africa,Iceland,Portugal,Israel,Lithuania,Colombia,Romania",< 30 minutes,6.7,4,13,"$332,890",05-Sep-14,2020-12-01,91927
The Legend of Secret Pass,the legend of secret pass,"Animation, Family, Fantasy",English,Movie,"France,Belgium,Netherlands,Iceland,Poland,Greece,Sweden,Turkey,Israel",1-2 hour,5,,,,15-Jan-19,2020-12-01,370
Ava,ava,"Action, Crime, Drama, Thriller","English, German, French, Chinese",Movie,"France,Brazil,United Kingdom,Canada,Australia,Mexico,India,Argentina,United States,Colombia,Italy",1-2 hour,5.4,,,"$497,747",25-Sep-20,2020-12-01,39671
Rust Creek,rust creek,"Crime, Drama, Thriller",English,Movie,United States,1-2 hour,5.9,9,,,27-Nov-20,2020-12-01,6747
The 2nd,the 2nd,"Action, Drama",English,Movie,"United States,Sweden,South Africa,Iceland,United Kingdom,Australia",1-2 hour,3.8,,,,01-Sep-20,2020-12-01,4110
Finding Agnes,finding agnes,Drama,"Filipino, English",Movie,"Canada,Poland,Australia,Mexico,France,India,Thailand,Singapore,Japan,Italy,Argentina,United States,Russia,Spain,Greece,Czech Republic,Belgium,Hungary,Switzerland,Slovakia,United Kingdom,Sweden,Malaysia,Netherlands,Germany,Turkey,Brazil,Israel,Hong Kong,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",1-2 hour,4.7,,,,30-Nov-20,2020-12-01,100
The Dare,the dare,"Horror, Mystery, Thriller",English,Movie,Netherlands,1-2 hour,5.1,1,,,03-Mar-20,2020-11-30,1209
Primo amore,primo amore,Short,"None, Italian",Movie,Italy,< 30 minutes,,,,,01-Apr-16,2020-11-30,
Respiro,respiro,Drama,"Italian, Sicilian",Movie,Italy,< 30 minutes,7,21,11,"$1,072,834",22-May-02,2020-11-30,4517
Princess Sarah,princess sarah,Drama,Filipino,Series,Israel,< 30 minutes,7.9,,,,12-Nov-07,2020-11-30,17
The Swiss Family Robinson,the swiss family robinson,Adventure,English,Movie,Israel,< 30 minutes,6.4,,,,15-Apr-75,2020-11-30,166
The Embalmer,the embalmer,"Drama, Romance",Italian,Movie,Italy,1-2 hour,7,16,20,"$56,878",06-Sep-02,2020-11-30,2312
Heliopolis,heliopolis,Drama,"Arabic, French",Movie,Israel,1-2 hour,6.5,2,5,,01-Dec-09,2020-11-30,627
Eye of the Sun,eye of the sun,Drama,"Arabic, Italian",Movie,Israel,1-2 hour,6.9,1,,,06-May-09,2020-11-30,78
Two Women,two women,"Drama, War","Italian, German",Movie,Italy,1-2 hour,7.8,11,3,,09-May-61,2020-11-30,9549
Consequences of Love,consequences of love,"Crime, Drama, Romance",Italian,Movie,Italy,1-2 hour,7.5,20,21,,24-Sep-04,2020-11-30,15423
Capri-Revolution,capri-revolution,"Drama, History","Italian, Neapolitan, English, French, German, Russian",Movie,Italy,1-2 hour,5.4,11,25,,20-Dec-18,2020-11-30,820
Bob & Marys - Criminali a domicilio,bob & marys - criminali a domicilio,Comedy,English,Movie,Italy,1-2 hour,7.4,,2,,13-Sep-92,2020-11-30,205
A Perfect Day,a perfect day,"Comedy, Drama, War","English, Serbian, Spanish, French, Bosnian",Movie,Italy,1-2 hour,6.8,4,21,"$14,044",15-Jan-16,2020-11-30,20595
Maura,maura,"Short, Horror",Spanish,Series,"Thailand,Singapore,Malaysia",< 30 minutes,,,,,18-Nov-17,2020-11-30,
The Robbers,the robbers,"Action, Comedy",Mandarin,Movie,"Thailand,Singapore,Malaysia",> 2 hrs,5.6,2,1,,10-Oct-09,2020-11-30,214
A Gift,a gift,"Comedy, Drama, Romance",Thai,Movie,Thailand,> 2 hrs,7.2,,3,,01-Dec-16,2020-11-30,626
De Piraten van Hiernaast,de piraten van hiernaast,Family,Dutch,Movie,"Belgium,Netherlands",1-2 hour,6.3,,,,01-Jul-20,2020-11-29,175
Scent of Love,scent of love,"Drama, Romance",Korean,Series,Thailand,< 30 minutes,6.6,1,,,28-Feb-03,2020-11-29,216
Waves of Life,waves of life,Documentary,English,Series,"Thailand,Malaysia",< 30 minutes,,,,,24-Oct-08,2020-11-29,
Nakee,nakee,"Fantasy, Romance",Thai,Series,Thailand,< 30 minutes,5.6,,,,18-Oct-18,2020-11-29,284
Love Revenge,love revenge,"Short, Mystery, Thriller",English,Series,Thailand,< 30 minutes,,,,,30-Jan-12,2020-11-29,
Love without rules,love without rules,,English,Movie,Russia,1-2 hour,,,,,10-Nov-16,2020-11-29,
Go Ahead,go ahead,"Comedy, Drama, Family, Romance",Chinese,Series,"Thailand,Singapore",< 30 minutes,8.6,6,7,,10-Aug-20,2020-11-29,269
Orlean,orlean,"Comedy, Drama, Thriller",Russian,Movie,Russia,1-2 hour,5.8,4,10,,17-Sep-15,2020-11-29,597
Gibiate,gibiate,"Animation, Action, Fantasy",Japanese,Series,"Thailand,Singapore,India,Malaysia",< 30 minutes,4.7,,,,15-Jul-20,2020-11-29,121
Pitch,pitch,"Drama, Sport",English,Movie,Russia,1-2 hour,7.4,1,2,,22-Sep-16,2020-11-29,5491
Puppet Syndrome,puppet syndrome,Drama,Russian,Movie,Russia,1-2 hour,5.9,1,1,,05-Nov-15,2020-11-29,182
Flames of Desire,flames of desire,Drama,"None, English",Series,Thailand,< 30 minutes,,,,,30-Nov-24,2020-11-29,
My Dog Dou Dou,my dog dou dou,Drama,Mandarin,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.6,,,,20-Sep-12,2020-11-29,5
October Sonata,october sonata,"Drama, Romance",Thai,Movie,Thailand,1-2 hour,6.7,4,7,,24-Dec-09,2020-11-29,54
One More Chance,one more chance,"Drama, Romance","Filipino, Tagalog",Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.4,5,17,,14-Nov-07,2020-11-29,718
Pee Nak 2,pee nak 2,Horror,Thai,Movie,Thailand,1-2 hour,6,,,,20-Feb-20,2020-11-29,60
Phua Chu Kang The Movie,phua chu kang the movie,Comedy,"Malay, English",Movie,"Thailand,Singapore,Malaysia",1-2 hour,4.9,,,,12-Aug-10,2020-11-29,12
Pulau Hantu,pulau hantu,Thriller,English,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.7,,,,31-Aug-08,2020-11-29,29
Remember When,remember when,Drama,English,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.5,,,,23-Mar-74,2020-11-29,49
Rompis,rompis,"Drama, Romance",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.9,,,,16-Aug-18,2020-11-29,189
Secret Zoo,secret zoo,Comedy,Korean,Movie,"Thailand,South Korea",1-2 hour,6.1,,,,15-Jan-20,2020-11-29,909
Snakes & Ladders,snakes & ladders,"Horror, Thriller",English,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.1,,,,01-Dec-74,2020-11-29,108
Spy in Love,spy in love,"Action, Romance","Malay, Indonesian",Movie,"Thailand,Singapore,Malaysia",1-2 hour,,,,,29-Sep-16,2020-11-29,
Sunny: Our Hearts Beat Together,sunny: our hearts beat together,"Comedy, Drama, Musical",Japanese,Movie,Thailand,1-2 hour,6.8,,1,,31-Aug-18,2020-11-29,534
That Girl in Pinafore,that girl in pinafore,"Comedy, Musical","English, Chinese, Malay",Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.2,,,,01-Aug-13,2020-11-29,135
Three Ladies,three ladies,,English,Movie,"Thailand,Singapore,Malaysia",1-2 hour,,,,,,2020-11-29,
Titus: Mystery of the Enygma,titus: mystery of the enygma,"Animation, Comedy, Family",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,8,,,,09-Jan-20,2020-11-29,43
We Not Naughty,we not naughty,"Comedy, Drama","Malay, English, Mandarin",Movie,"Thailand,Singapore,Malaysia",> 2 hrs,5.5,,,,19-Jan-12,2020-11-29,104
When Will You Get Married?,when will you get married?,"Comedy, Romance",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.3,,4,,12-Feb-15,2020-11-29,227
You Are My Sunshine,you are my sunshine,"Drama, Romance",Korean,Movie,"Thailand,Singapore,Malaysia",> 2 hrs,7,7,8,,23-Sep-05,2020-11-29,701
Hello World,hello world,"Animation, Comedy, Drama, Family, Romance, Sci-Fi",Japanese,Movie,Thailand,1-2 hour,6.8,,2,,20-Sep-19,2020-11-29,1402
Go Eight,go eight,"Action, Drama, Sport",Indonesian,Movie,"Thailand,Singapore,Malaysia",> 2 hrs,6.9,,,,11-Apr-13,2020-11-29,130
Firegate,firegate,"Adventure, Fantasy, Horror, Mystery, Thriller",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.6,,2,,20-Sep-17,2020-11-29,120
Farewell Song,farewell song,"Drama, Music, Romance",Japanese,Movie,Thailand,1-2 hour,6.9,,2,,31-May-19,2020-11-29,370
Every Day A Good Day,every day a good day,Drama,Japanese,Movie,"Thailand,Japan",1-2 hour,7.1,4,5,,13-Oct-18,2020-11-29,831
Distance,distance,Drama,Japanese,Movie,"Thailand,Singapore,Malaysia",1-2 hour,6.9,,1,,26-May-01,2020-11-29,1287
Crazy Crying Lady,crazy crying lady,Comedy,Thai,Movie,Thailand,1-2 hour,5.1,,1,,27-Dec-12,2020-11-29,63
City Sharks,city sharks,Comedy,English,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.1,,,,27-Mar-03,2020-11-29,34
Chrisye,chrisye,"Biography, Drama",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.3,,2,,07-Dec-17,2020-11-29,69
Chennai 2 Singapore,chennai 2 singapore,"Comedy, Romance",Tamil,Movie,"Thailand,Singapore,Malaysia",> 2 hrs,6,,,,08-Dec-17,2020-11-29,147
Cafe Funiculi Funicula,cafe funiculi funicula,"Adventure, Drama, Fantasy, Romance, Sci-Fi",Japanese,Movie,Thailand,1-2 hour,6.9,1,,,21-Sep-18,2020-11-29,744
Bangkok Dark Tales,bangkok dark tales,Horror,Thai,Movie,Thailand,1-2 hour,5.6,,,,23-May-19,2020-11-29,34
Asih,asih,Horror,Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,5.1,,,,11-Oct-18,2020-11-29,209
Army Daze,army daze,Comedy,"English, Malay, Hokkien, Mandarin",Movie,"Thailand,Singapore,Malaysia",1-2 hour,6.3,,,,13-May-12,2020-11-29,148
Ashfall,ashfall,"Action, Adventure, Thriller","Korean, English, Chinese",Movie,Thailand,> 2 hrs,6.2,5,8,"$372,562",19-Dec-19,2020-11-29,3111
Muita Calma Nessa Hora 2,muita calma nessa hora 2,Comedy,Portuguese,Movie,Brazil,1-2 hour,4.8,,,,17-Jan-14,2020-11-29,361
Cilada.com,cilada.com,"Short, Documentary",Portuguese,Movie,Brazil,1-2 hour,,1,,,,2020-11-29,
Alucinados,alucinados,Thriller,Portuguese,Movie,Brazil,1-2 hour,4.7,1,,,08-Mar-08,2020-11-29,50
A Very English Scandal,a very english scandal,"Biography, Comedy, Crime, Drama, History",English,Series,Australia,< 30 minutes,7.7,28,42,,29-Jun-18,2020-11-29,10432
The Gulf,the gulf,Crime,English,Movie,Australia,< 30 minutes,6.2,,1,,04-Dec-19,2020-11-29,446
Mr. Jones,mr. jones,"Drama, Romance",English,Movie,"Australia,Poland",< 30 minutes,5.8,,,"$8,345,845",08-Oct-93,2020-11-29,6820
